Time,SP,Tin,Time01,hour,IncO01,Weekdays,Step,Time03,IncO,Month,days,days01
2020-11-06 6:19,23.029,22.749,6,0,,Friday,19084,6,0,November,66,0
2020-11-06 6:24,23.029,22.749,6,0,,Friday,19085,6,0,November,66,0
2020-11-06 6:29,23.029,22.749,6,0,,Friday,19086,6,0,November,66,0
2020-11-06 6:34,23.029,22.749,6,0,,Friday,19087,6,0,November,66,0
2020-11-06 6:39,23.029,22.749,6,0,,Friday,19088,6,0,November,66,0
2020-11-06 6:44,23.029,22.749,6,0,,Friday,19089,6,0,November,66,0
2020-11-06 6:49,23.029,22.749,6,0,,Friday,19090,6,0,November,66,0
2020-11-06 6:54,23.029,22.749,6,0,,Friday,19091,6,0,November,66,0
2020-11-06 6:59,23.029,22.749,6,1,,Friday,19092,6,0,November,66,0
2020-11-06 7:04,23.029,22.749,7,0,,Friday,19093,7,0,November,66,0
2020-11-06 7:09,23.029,22.749,7,0,,Friday,19094,7,0,November,66,0
2020-11-06 7:14,23.029,22.749,7,0,,Friday,19095,7,0,November,66,0
2020-11-06 7:19,23.029,22.749,7,0,,Friday,19096,7,0,November,66,0
2020-11-06 7:24,23.029,22.749,7,0,,Friday,19097,7,0,November,66,0
2020-11-06 7:29,23.029,22.749,7,0,,Friday,19098,7,0,November,66,0
2020-11-06 7:34,23.029,22.749,7,0,,Friday,19099,7,0,November,66,0
2020-11-06 7:39,23.029,22.749,7,0,,Friday,19100,7,0,November,66,0
2020-11-06 7:44,23.029,22.749,7,0,,Friday,19101,7,0,November,66,0
2020-11-06 7:49,23.029,22.749,7,0,,Friday,19102,7,0,November,66,0
2020-11-06 7:54,23.029,22.749,7,0,,Friday,19103,7,0,November,66,0
2020-11-06 7:59,23.029,22.749,7,1,,Friday,19104,7,0,November,66,0
2020-11-06 8:04,23.029,22.749,8,0,,Friday,19105,8,0,November,66,0
2020-11-06 8:09,23.029,22.749,8,0,,Friday,19106,8,0,November,66,0
